
2024/11/25 (00:53:03) | ===> btop++ v.1.3.2
2024/11/25 (18:50:03) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:04) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:05) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:06) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:07) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:08) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:09) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:10) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:11) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:12) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:13) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:14) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:15) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:16) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:19) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:20) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:21) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:22) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:23) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:41) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:42) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:43) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:44) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:45) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:46) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:49) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:49) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:50) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:51) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:52) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:53) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:54) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:55) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:56) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:57) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:58) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:50:59) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:00) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:01) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:02) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:03) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:04) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:05) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:06) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:07) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:08) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:09) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:10) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:11) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:12) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:13) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:14) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:15) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:16) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:19) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:20) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:21) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:22) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:23) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:39) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:40) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:41) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:42) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:43) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:44) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:45) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:46) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:47) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:48) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:49) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:50) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:51) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:52) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:53) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:54) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:55) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:56) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:57) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:58) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:51:59) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:00) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:01) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:02) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:03) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:04) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:05) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:06) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:07) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:08) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:09) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:10) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:11) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:12) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:13) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:14) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:15) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:52:16) | WARNING: Error in Mem::collect() : std::future_error: No associated state
